# ----------------------------------------
# 1 Master View
# Zielgruppenübersicht
# 20210801-20210831
# ----------------------------------------

Index: Tag,Zeitraum,Segment,Nutzer
01.08.21,01.08.2021 - 31.08.2021,Alle Nutzer,1.420
01.08.21,01.08.2021 - 31.08.2021,Alter 18-24,144
01.08.21,01.08.2021 - 31.08.2021,Alter 25-34,177
02.08.21,01.08.2021 - 31.08.2021,Alle Nutzer,2.505
02.08.21,01.08.2021 - 31.08.2021,Alter 18-24,253
02.08.21,01.08.2021 - 31.08.2021,Alter 25-34,454
03.08.21,01.08.2021 - 31.08.2021,Alle Nutzer,2.545
03.08.21,01.08.2021 - 31.08.2021,Alter 18-24,279
03.08.21,01.08.2021 - 31.08.2021,Alter 25-34,397
04.08.21,01.08.2021 - 31.08.2021,Alle Nutzer,2.518
04.08.21,01.08.2021 - 31.08.2021,Alter 18-24,306
04.08.21,01.08.2021 - 31.08.2021,Alter 25-34,407
05.08.21,01.08.2021 - 31.08.2021,Alle Nutzer,2.502
05.08.21,01.08.2021 - 31.08.2021,Alter 18-24,243
05.08.21,01.08.2021 - 31.08.2021,Alter 25-34,392
06.08.21,01.08.2021 - 31.08.2021,Alle Nutzer,2.066
06.08.21,01.08.2021 - 31.08.2021,Alter 18-24,214
06.08.21,01.08.2021 - 31.08.2021,Alter 25-34,338
07.08.21,01.08.2021 - 31.08.2021,Alle Nutzer,1.284
07.08.21,01.08.2021 - 31.08.2021,Alter 18-24,130
07.08.21,01.08.2021 - 31.08.2021,Alter 25-34,139
08.08.21,01.08.2021 - 31.08.2021,Alle Nutzer,1.409
08.08.21,01.08.2021 - 31.08.2021,Alter 18-24,146
08.08.21,01.08.2021 - 31.08.2021,Alter 25-34,196
09.08.21,01.08.2021 - 31.08.2021,Alle Nutzer,2.309
09.08.21,01.08.2021 - 31.08.2021,Alter 18-24,256
09.08.21,01.08.2021 - 31.08.2021,Alter 25-34,387
10.08.21,01.08.2021 - 31.08.2021,Alle Nutzer,2.242
10.08.21,01.08.2021 - 31.08.2021,Alter 18-24,251
10.08.21,01.08.2021 - 31.08.2021,Alter 25-34,346
11.08.21,01.08.2021 - 31.08.2021,Alle Nutzer,2.099
11.08.21,01.08.2021 - 31.08.2021,Alter 18-24,236
11.08.21,01.08.2021 - 31.08.2021,Alter 25-34,315
12.08.21,01.08.2021 - 31.08.2021,Alle Nutzer,2.110
12.08.21,01.08.2021 - 31.08.2021,Alter 18-24,215
12.08.21,01.08.2021 - 31.08.2021,Alter 25-34,316
13.08.21,01.08.2021 - 31.08.2021,Alle Nutzer,1.808
13.08.21,01.08.2021 - 31.08.2021,Alter 18-24,171
13.08.21,01.08.2021 - 31.08.2021,Alter 25-34,259
14.08.21,01.08.2021 - 31.08.2021,Alle Nutzer,1.212
14.08.21,01.08.2021 - 31.08.2021,Alter 18-24,107
14.08.21,01.08.2021 - 31.08.2021,Alter 25-34,134
15.08.21,01.08.2021 - 31.08.2021,Alle Nutzer,1.393
15.08.21,01.08.2021 - 31.08.2021,Alter 18-24,157
15.08.21,01.08.2021 - 31.08.2021,Alter 25-34,178
16.08.21,01.08.2021 - 31.08.2021,Alle Nutzer,2.001
16.08.21,01.08.2021 - 31.08.2021,Alter 18-24,174
16.08.21,01.08.2021 - 31.08.2021,Alter 25-34,312
17.08.21,01.08.2021 - 31.08.2021,Alle Nutzer,2.173
17.08.21,01.08.2021 - 31.08.2021,Alter 18-24,204
17.08.21,01.08.2021 - 31.08.2021,Alter 25-34,311
18.08.21,01.08.2021 - 31.08.2021,Alle Nutzer,2.233
18.08.21,01.08.2021 - 31.08.2021,Alter 18-24,222
