,MonthlyIncome,Male,Age,Purchased
0,4336,0,34,1
1,747,0,26,0
2,7635,0,26,0
3,1328,0,23,0
4,8564,0,27,0
5,6149,0,20,0
6,1284,1,22,0
7,3094,0,23,0
8,262,1,29,0
9,1370,1,18,0
10,1257,1,30,0
11,2036,0,19,0
12,3232,1,18,0
13,2176,0,20,0
14,4522,0,29,1
15,2571,0,29,0
16,186,0,33,0
17,692,0,24,1
18,1513,0,18,0
19,5056,1,28,1
20,1880,1,34,0
21,3799,1,24,0
22,2864,0,34,1
23,6344,1,30,0
24,2172,1,33,0
25,16408,0,34,1
26,8527,0,27,0
27,3050,1,20,0
28,498,0,21,0
29,1836,1,28,0
30,6822,0,29,1
31,5208,1,28,0
32,2479,1,23,0
33,9429,0,25,0
34,1356,1,22,0
35,4220,0,28,1
36,1960,1,34,1
37,2673,0,23,0
38,1774,1,25,0
39,467,1,34,0
40,3870,0,23,1
41,6979,1,24,0
42,2098,1,23,0
43,15770,1,34,1
44,4232,1,27,0
45,694,0,33,0
46,8034,0,23,1
47,2442,1,32,0
48,1814,1,32,0
49,1804,1,32,0
50,16726,0,27,1
51,3458,1,34,0
52,716,1,18,0
53,2064,0,28,0
54,9690,1,34,1
55,506,0,34,1
56,2326,0,21,0
57,4654,1,19,0
58,5196,1,33,1
59,1078,1,34,1
60,620,0,28,1
61,1500,0,27,1
62,127,0,26,0
63,17626,0,23,1
64,13948,0,29,1
65,3998,1,31,0
66,2168,0,29,0
67,1457,1,24,0
68,1448,1,34,1
69,3016,0,26,1
70,2146,1,28,1
71,1666,1,34,0
72,2514,0,34,1
73,3980,0,34,0
74,5252,0,30,0
75,1066,0,32,0
76,2600,0,34,1
77,3350,1,30,0
78,6292,1,18,0
79,1616,0,32,0
80,582,1,20,0
81,6622,1,34,1
82,1750,0,22,0
83,884,0,27,0
84,608,0,26,0
85,10238,1,18,0
86,4501,0,31,0
87,7390,1,31,1
88,7188,0,28,0
89,1841,0,31,0
90,8660,1,31,1
91,9058,1,34,1
92,933,1,21,0
93,15892,0,23,1
94,909,1,22,0
95,2652,1,25,1
96,633,1,28,0
97,12518,1,28,1
98,1905,1,25,0
99,1065,1,34,0
100,1644,1,18,0
101,6686,0,34,1
102,1662,1,33,0
103,10207,0,29,0
104,797,1,20,0
105,1450,1,22,0
106,2302,0,23,1
107,266,0,21,0
108,690,0,23,0
109,9187,1,18,0
110,1806,0,29,0
111,1430,0,27,1
112,2771,1,27,0
113,957,0,18,0
114,891,1,32,0
115,1948,1,23,1
116,4934,1,27,1
117,2396,0,33,0
118,450,1,21,0
119,1806,0,26,0
120,3002,0,19,0
121,439,1,34,0
122,17352,0,27,1
123,2167,0,28,0
124,6274,0,32,1
125,772,1,22,0
126,1556,1,21,0
127,388,1,32,0
128,550,0,29,0
129,1693,0,28,0
130,147,1,33,0
131,6111,0,31,0
132,4355,0,28,0
133,6820,1,19,0
134,1679,1,25,0
135,1169,1,22,0
136,7022,1,34,0
137,10590,0,34,1
138,1956,0,26,0
139,2994,0,19,0
140,2072,1,28,1
141,3100,1,20,0
142,5094,0,33,0
143,7458,0,32,0
144,3628,1,33,0
145,1009,1,25,0
146,8430,0,23,0
147,2023,1,34,0
148,1759,1,21,0
149,4062,1,34,1
150,937,0,30,0
151,8884,1,30,0
152,4114,0,32,0
153,510,1,33,0
154,1660,1,20,0
155,10132,0,27,1
156,6377,1,21,0
157,3914,1,33,0
158,1979,1,19,0
159,13480,1,31,1
160,3464,0,34,1
161,14728,0,29,1
162,7220,1,31,0
163,2936,1,23,0
164,6298,0,31,0
165,1251,0,34,0
166,2258,0,30,0
167,1751,1,19,0
168,1819,1,20,0
169,4574,1,31,0
170,4182,0,28,1
171,4442,1,34,1
172,1538,1,34,1
173,6974,0,28,1
174,2356,1,34,1
175,14444,0,25,1
176,1030,0,26,0
177,485,0,28,0
178,712,0,27,0
179,5798,0,30,0
180,207,1,25,0
181,5884,1,20,0
182,4942,1,21,0
183,3308,0,33,1
184,3662,1,34,1
185,4488,0,32,1
186,9353,0,23,0
187,1928,1,19,0
188,1255,1,32,0
189,13046,1,25,1
190,8106,0,19,0
191,4362,0,26,1
192,1225,1,32,0
193,1381,0,18,0
194,5698,0,30,1
195,162,1,32,0
196,5684,1,30,1
197,978,1,25,0
198,14908,1,34,1
199,2857,1,31,0
200,2981,0,24,0
201,1458,1,32,1
202,6493,0,25,0
203,3511,1,32,0
204,6036,1,20,0
205,132,0,27,0
206,1390,1,19,0
207,6718,1,23,1
208,2552,1,21,0
209,8741,0,25,0
210,916,1,29,0
211,10212,1,24,1
212,6575,1,34,0
213,9366,1,25,0
214,8474,0,34,1
215,2713,1,31,0
216,1656,0,23,0
217,5804,0,28,0
218,8836,0,29,1
219,2520,1,20,0
220,14406,0,34,1
221,3845,0,33,0
222,7937,0,25,0
223,7793,0,22,0
224,2352,1,30,0
225,4634,1,21,0
226,1922,1,34,1
227,2236,0,28,0
228,10900,1,30,1
229,906,0,28,0
230,1696,0,27,1
231,5938,0,29,1
232,12800,1,34,1
233,2135,1,18,0
234,3302,1,25,1
235,454,1,33,1
236,1189,0,28,0
237,642,1,32,1
238,5180,0,26,0
239,927,1,29,0
240,268,1,24,0
241,3056,0,31,1
242,171,1,20,0
243,664,0,25,0
244,3483,1,26,0
245,1339,1,25,0
246,16154,1,34,1
247,2114,0,18,0
248,9034,1,29,1
249,2954,1,20,0
250,4624,0,33,1
251,5577,1,20,0
252,9310,1,28,0
253,4105,1,26,0
254,1960,1,32,1
255,8628,0,26,1
256,4136,1,27,1
257,2076,0,34,1
258,1462,1,33,0
259,302,0,27,0
260,6294,0,25,1
261,318,0,32,0
262,5728,0,30,0
263,9896,1,29,1
264,14076,1,24,1
265,3272,1,34,1
266,4850,0,23,0
267,777,0,18,0
268,4313,1,23,0
269,644,0,34,1
270,2920,1,33,1
271,1312,1,24,0
272,4622,1,34,0
273,4775,0,20,0
274,768,1,28,0
275,3107,0,23,0
276,3382,0,22,0
277,2988,0,34,1
278,777,1,25,0
279,1662,1,26,0
280,319,0,33,0
281,5302,1,32,1
282,3538,1,34,1
283,4639,0,32,0
284,7562,0,24,0
285,1782,0,32,0
286,4046,0,31,0
287,8329,1,22,0
288,1941,1,32,0
289,633,1,26,0
290,4698,0,18,0
291,1953,0,32,0
292,2142,1,25,1
293,2096,1,32,1
294,755,0,31,0
295,1552,0,22,0
296,1960,0,24,0
297,4716,0,34,1
298,2432,0,34,1
299,1986,0,32,1
300,2032,1,28,0
301,942,1,31,0
302,7464,0,27,1
303,6801,1,20,0
304,834,0,34,0
305,720,0,18,0
306,5487,0,21,0
307,4254,1,28,1
308,532,1,31,0
309,1670,0,31,0
310,2552,1,19,0
311,3288,1,23,0
312,2568,1,22,0
313,7816,1,34,1
314,5275,1,21,0
315,4013,0,31,0
316,1572,1,34,1
317,4771,1,24,0
318,3060,1,34,1
319,6680,0,31,1
320,1028,1,25,0
321,1822,0,23,1
322,1676,1,22,0
323,7670,0,18,0
324,966,1,32,0
325,5543,0,21,0
326,2076,0,34,1
327,5554,0,34,1
328,866,1,27,0
329,2081,1,27,0
330,9395,1,26,0
331,3990,0,20,0
332,2484,0,25,0
333,1528,0,32,0
334,4574,1,19,0
335,1617,1,30,0
336,937,0,34,0
337,13698,1,24,1
338,5753,0,20,0
339,5122,0,19,0
340,5148,1,29,0
341,3056,1,34,0
342,729,0,26,0
343,2359,0,29,0
344,929,1,21,0
345,1334,1,26,0
346,2084,1,26,0
347,2096,1,18,0
348,564,1,26,0
349,5250,1,23,1
350,4039,1,30,0
351,2410,1,21,0
352,7495,0,18,0
353,1841,0,26,0
354,697,1,29,0
355,8034,1,33,1
356,2176,0,22,0
357,9502,1,27,0
358,10158,1,25,1
359,999,1,24,0
360,4337,0,24,0
361,3434,0,27,0
362,8340,0,21,0
363,2507,0,31,0
364,5509,1,23,0
365,5976,1,19,0
366,4085,1,22,0
367,8406,1,25,1
368,3172,0,30,0
369,6082,1,29,0
370,741,1,32,0
371,7056,1,21,0
372,4800,1,21,0
373,7064,1,25,1
374,1300,1,23,0
375,6669,0,22,0
376,3345,0,31,0
377,6674,1,25,0
378,2220,0,22,0
379,6170,1,30,0
380,14286,0,27,1
381,8746,0,34,1
382,1216,1,26,0
383,4392,0,26,0
384,2141,1,27,0
385,20042,0,34,1
386,5884,1,32,0
387,6788,0,34,1
388,2140,0,34,1
389,6096,1,28,0
390,4744,0,20,0
391,5037,0,23,0
392,2075,0,22,0
393,1659,0,18,0
394,2778,1,25,0
395,4296,1,24,1
396,5760,1,28,0
397,14164,1,28,1
398,1024,0,31,0
399,2036,1,34,1
400,3660,0,33,1
401,758,1,19,0
402,3527,1,19,0
403,334,0,28,0
404,4938,1,20,0
405,1456,1,32,0
406,3592,0,27,0
407,5488,1,30,0
408,3263,0,30,0
409,3006,0,34,0
410,2332,1,22,0
411,1520,1,24,0
412,1918,1,34,1
413,2322,0,20,0
414,16038,0,31,1
415,10980,0,34,1
416,5368,1,22,0
417,3566,0,20,0
418,2415,0,25,0
419,6272,0,29,1
420,1152,1,26,0
421,565,1,22,0
422,6331,1,27,0
423,10220,1,26,1
424,5128,0,26,1
425,2978,0,28,0
426,810,1,33,0
427,942,1,19,0
428,3366,1,19,0
429,918,1,30,0
430,1206,0,18,0
431,1829,0,23,0
432,9712,0,33,1
433,6556,1,33,0
434,888,0,28,1
435,267,0,32,0
436,7604,1,34,0
437,2514,1,34,1
438,1717,1,34,0
439,4971,0,33,0
440,3910,1,29,0
441,2899,1,33,0
442,996,0,34,1
443,914,1,19,0
444,6136,0,29,1
445,3141,1,29,0
446,1031,0,18,0
447,1470,0,27,0
448,10224,0,33,0
449,2149,0,30,0
450,3754,0,33,0
451,7918,1,26,1
452,6718,1,34,0
453,748,0,32,0
454,6584,0,34,1
455,10072,1,26,1
456,1602,1,24,0
457,4723,1,31,0
458,6081,0,18,0
459,1136,0,33,0
460,704,1,25,1
461,3528,1,27,1
462,3456,0,34,1
463,6356,1,30,1
464,1456,0,33,0
465,2253,0,34,0
466,10264,0,24,1
467,18848,0,34,1
468,8798,1,25,1
469,5764,1,33,1
470,3045,0,33,0
471,4417,0,31,0
472,2079,0,30,0
473,7886,0,34,1
474,3609,1,31,0
475,4890,1,25,0
476,13904,0,34,1
477,4087,1,25,0
478,3518,1,32,1
479,4510,1,26,0
480,1122,1,25,0
481,656,0,28,0
482,1142,1,34,1
483,1560,1,21,0
484,238,0,18,0
485,5438,0,29,0
486,533,0,23,0
487,766,1,30,0
488,5968,0,22,0
489,2335,0,19,0
490,1873,0,23,0
491,923,1,27,0
492,6105,0,34,0
493,5204,0,26,0
494,1404,0,27,0
495,1400,1,34,1
496,11428,0,27,1
497,4500,0,34,1
498,6207,1,20,0
499,512,1,27,0
500,2825,1,21,0
501,11084,1,26,1
502,7952,0,32,1
503,5210,1,20,0
504,787,1,21,0
505,3256,1,28,1
506,778,1,21,0
507,2836,0,34,1
508,640,0,29,0
509,4416,0,26,0
510,7378,1,18,0
511,3522,0,19,0
512,10393,1,23,0
513,3814,0,23,0
514,931,1,18,0
515,4470,0,31,0
516,691,1,33,0
517,6039,1,24,0
518,706,1,24,1
519,9174,0,34,1
520,8016,0,30,1
521,14166,1,28,1
522,403,0,19,0
523,2127,0,23,0
524,553,0,25,0
525,6282,0,28,0
526,1862,1,31,0
527,5256,1,27,1
528,6330,0,34,1
529,6249,0,20,0
