,Gender,Total,Rating
0,Female,548.97,9.1
1,Female,80.22,9.6
2,Male,340.53,7.4
3,Male,489.05,8.4
4,Male,634.38,5.3
5,Male,627.62,4.1
6,Female,433.69,5.8
7,Female,772.38,8.0
8,Female,76.15,7.2
9,Female,172.75,5.9
10,Female,60.82,4.5
11,Male,107.14,6.8
12,Female,246.49,7.1
13,Male,453.5,8.2
14,Female,749.49,5.7
15,Female,590.44,4.5
16,Female,506.64,4.6
17,Male,457.44,6.9
18,Male,172.21,8.6
19,Female,84.63,4.4
20,Male,451.71,4.8
21,Male,277.14,5.1
22,Male,69.72,4.4
23,Male,181.44,9.9
24,Male,279.18,6.0
25,Female,441.76,8.5
26,Male,35.2,6.7
27,Female,184.11,7.7
28,Female,463.89,9.6
29,Male,235.21,7.4
30,Male,494.18,4.8
31,Male,737.76,4.5
32,Male,703.75,5.1
33,Male,202.82,5.1
34,Female,417.56,7.5
35,Female,71.53,6.8
36,Male,328.76,7.0
37,Female,575.32,4.7
38,Female,461.33,7.6
39,Male,253.01,7.7
40,Female,91.06,7.9
41,Male,117.83,6.3
42,Female,435.46,5.6
43,Female,829.08,7.6
44,Male,32.28,7.2
45,Female,394.63,9.5
46,Male,535.72,8.4
47,Female,189.09,4.1
48,Male,119.26,8.1
49,Female,867.62,7.9
50,Male,671.79,9.5
51,Female,234.1,8.5
52,Female,75.05,6.5
53,Male,16.2,6.1
54,Male,33.94,6.5
55,Female,722.23,8.2
56,Male,93.11,5.8
57,Male,752.64,6.6
58,Female,759.68,5.4
59,Male,192.84,9.3
60,Female,77.93,10.0
61,Male,351.1,7.0
62,Female,520.41,10.0
63,Male,166.0,8.6
64,Male,318.11,7.6
65,Male,166.64,5.8
66,Female,70.29,6.7
67,Female,614.94,9.9
68,Male,827.08,6.4
69,Female,19.25,4.3
70,Male,939.54,9.6
71,Male,652.26,5.9
72,Female,152.84,4.0
73,Female,478.23,8.7
74,Male,705.63,9.4
75,Female,437.32,5.4
76,Male,463.43,8.6
77,Female,189.09,5.7
78,Female,822.26,6.6
79,Female,107.0,6.0
80,Female,624.9,5.5
81,Female,304.54,6.4
82,Male,161.7,6.6
83,Female,337.51,8.3
84,Male,256.78,6.6
85,Female,610.49,4.0
86,Male,401.73,9.9
87,Male,362.94,7.3
88,Male,44.59,5.7
89,Female,485.04,6.1
90,Female,199.0,7.1
91,Female,471.03,8.2
92,Female,161.55,5.1
93,Male,608.2,8.6
94,Male,94.24,6.6
95,Male,102.02,7.2
96,Male,922.64,5.1
97,Female,78.44,4.1
98,Male,166.16,9.3
99,Male,521.01,7.4
100,Male,51.15,4.1
101,Male,742.3,7.2
102,Female,218.01,4.9
103,Male,367.04,9.9
104,Male,223.07,8.0
105,Male,931.04,7.3
106,Male,172.49,7.9
107,Male,391.42,7.4
108,Female,321.11,4.2
109,Male,860.68,9.2
110,Female,34.63,4.6
111,Female,309.36,7.8
112,Female,535.37,8.4
113,Male,548.76,4.3
114,Female,763.47,9.5
115,Female,85.11,7.1
116,Male,115.18,5.3
117,Male,53.93,5.2
118,Female,115.08,6.0
119,Male,112.22,4.1
120,Female,836.3,5.2
121,Male,419.83,6.5
122,Male,944.62,4.2
123,Male,536.84,4.6
124,Female,474.35,7.3
125,Female,688.62,4.5
126,Female,169.31,9.0
127,Female,299.85,5.9
128,Female,575.74,8.5
129,Female,853.15,7.2
130,Female,291.21,7.5
131,Female,580.42,8.3
132,Female,146.33,7.4
133,Male,550.93,8.8
134,Female,512.19,5.3
135,Male,284.19,6.2
136,Female,138.13,8.8
137,Female,216.85,9.8
138,Male,545.05,8.2
139,Male,609.0,9.2
140,Female,942.9,5.4
141,Male,950.25,8.1
142,Female,720.3,9.1
143,Female,31.93,8.4
144,Female,491.08,8.0
145,Female,291.44,9.5
146,Female,316.47,9.2
147,Male,277.79,5.6
148,Male,603.62,6.2
149,Male,272.66,4.9
150,Female,384.47,4.8
151,Male,254.02,7.3
152,Male,786.62,7.4
153,Female,103.82,9.9
154,Female,680.15,9.3
155,Male,484.52,9.0
156,Male,75.78,6.1
157,Male,263.97,9.7
158,Male,918.73,6.0
159,Male,588.36,10.0
160,Female,362.71,8.3
161,Male,66.87,6.0
162,Male,336.56,7.0
163,Male,160.44,6.5
164,Male,418.95,5.9
165,Male,357.59,5.6
166,Male,1003.59,4.8
167,Male,1039.29,8.7
168,Male,323.06,6.5
169,Male,510.97,8.5
170,Male,367.55,5.5
171,Male,420.26,9.4
172,Male,175.14,6.3
173,Male,333.21,9.8
174,Male,166.24,8.7
175,Male,319.79,8.8
176,Male,186.23,9.6
177,Female,165.45,4.8
178,Male,465.44,4.4
179,Male,273.42,9.9
180,Male,472.31,5.7
181,Male,323.15,7.7
182,Male,162.75,8.0
183,Male,288.2,5.7
184,Female,90.7,6.7
185,Male,56.95,8.0
186,Female,793.72,7.5
187,Male,195.17,7.0
188,Male,77.77,9.9
189,Female,293.2,5.9
190,Female,242.68,7.2
191,Female,154.39,4.6
192,Female,829.71,9.2
193,Male,107.31,5.7
194,Male,171.73,9.9
195,Female,78.0,5.0
196,Male,91.77,4.9
197,Female,26.55,6.1
198,Male,174.3,8.2
199,Female,374.8,5.5
200,Female,120.64,6.8
201,Female,241.46,6.6
202,Male,451.36,9.8
203,Male,271.95,8.7
204,Male,93.29,5.4
205,Female,217.63,7.9
206,Female,629.84,9.7
207,Female,299.56,7.8
208,Female,95.67,5.1
209,Female,942.45,6.5
210,Male,247.87,5.9
211,Female,881.31,8.8
212,Male,484.89,4.9
213,Male,146.22,4.4
214,Female,217.63,6.5
215,Male,19.19,8.3
216,Female,130.04,8.5
217,Female,298.12,5.5
218,Male,796.91,8.7
219,Female,180.62,7.9
220,Male,285.7,6.1
221,Male,456.29,5.4
222,Male,62.0,9.4
223,Female,13.17,8.2
224,Male,90.82,6.2
225,Female,183.04,9.7
226,Male,655.55,4.0
227,Male,155.65,9.7
228,Female,571.41,5.3
229,Female,532.73,7.4
230,Female,170.88,6.5
231,Female,33.36,8.7
232,Female,794.65,8.0
233,Male,310.04,6.7
234,Male,545.37,6.5
235,Female,195.59,4.1
236,Male,91.4,4.9
237,Female,232.16,8.6
238,Female,69.4,4.3
239,Male,94.17,4.9
240,Male,235.68,5.6
241,Male,125.52,5.8
242,Male,195.72,6.0
243,Male,263.13,4.2
244,Male,788.51,8.3
245,Male,399.76,5.7
246,Female,256.41,4.8
247,Male,94.18,6.8
248,Male,326.42,8.8
249,Male,536.99,4.2
250,Male,439.9,6.4
251,Male,369.5,8.4
252,Female,30.22,7.2
253,Male,99.75,5.2
254,Male,494.76,8.9
255,Male,137.0,9.0
256,Male,69.67,9.7
257,Male,163.23,8.7
258,Male,135.45,6.5
259,Male,276.95,6.9
260,Female,709.32,6.2
261,Female,69.09,5.6
262,Female,160.86,5.7
263,Female,233.52,4.2
264,Male,57.17,7.9
265,Female,723.24,8.7
266,Male,148.97,6.9
267,Female,783.3,9.5
268,Male,297.11,4.4
269,Female,373.17,7.0
270,Female,354.01,6.3
271,Female,44.35,9.7
272,Female,203.55,8.8
273,Female,25.26,5.1
274,Female,628.17,7.9
275,Male,352.58,6.2
276,Female,229.11,7.1
277,Female,400.76,6.4
278,Male,745.4,5.7
279,Male,462.21,9.6
280,Female,587.66,6.4
281,Male,38.85,7.9
282,Female,16.11,6.5
283,Male,628.93,8.5
284,Female,200.21,9.1
285,Male,350.07,7.6
286,Male,78.6,6.9
287,Female,224.44,9.5
288,Female,356.55,5.2
289,Female,697.37,4.2
290,Male,423.15,7.0
291,Male,204.7,6.0
292,Female,65.6,4.7
293,Female,76.36,7.1
294,Male,190.16,5.9
295,Female,272.58,7.5
296,Male,121.13,6.4
297,Male,493.79,5.8
298,Male,252.04,4.5
299,Female,93.04,7.7
